No,Kanji,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,CorrectLetter
21,土ようび,What is the reading and meaning of this kanji?,つち — soil / earth,かようび — Tuesday,どようび — Saturday,もくようび — Thursday,どようび — Saturday,C
22,週,What is the reading and meaning of this kanji?,まいしゅう — every week,らいしゅう — next week,しゅう — week,こんしゅう — this week,しゅう — week,C
23,今週,What is the reading and meaning of this kanji?,せんしゅう — last week,らいしゅう — next week,こんしゅう — this week,しゅう — week,こんしゅう — this week,C
24,先週,What is the reading and meaning of this kanji?,しゅう — week,らいしゅう — next week,こんしゅう — this week,せんしゅう — last week,せんしゅう — last week,D
25,来週,What is the reading and meaning of this kanji?,こんしゅう — this week,まいしゅう — every week,しゅう — week,らいしゅう — next week,らいしゅう — next week,D
26,一週間,What is the reading and meaning of this kanji?,しゅう — week,はっしゅうかん — eight weeks,いっしゅうかん — one week,らいしゅう — next week,いっしゅうかん — one week,C
27,年,What is the reading and meaning of this kanji?,とし / ねん — year,ろくねん — six years,らいねん — next year,ことし — this year,とし / ねん — year,A
28,今年,What is the reading and meaning of this kanji?,とし / ねん — year,はんとし — half a year,ことし — this year,こんしゅう — this week,ことし — this year,C
29,来年,What is the reading and meaning of this kanji?,らいねん — next year,らい / く — come,いちねん — one year,とし / ねん — year,らいねん — next year,A
30,毎,What is the reading and meaning of this kanji?,ばい — buy,まいにち — every day,まい — every,まいしゅう — every week,まい — every,C
31,毎日,What is the reading and meaning of this kanji?,まい — every,まいにち — every day,いちにちめ — the first day,はんにち — half a day,まいにち — every day,B
32,毎週,What is the reading and meaning of this kanji?,まいしゅう — every week,まい — every,しゅう — week,らいしゅう — next week,まいしゅう — every week,A
33,一,What is the reading and meaning of this kanji?,いちにちめ — the first day,いち — one,いちねん — one year,じゅういち — eleven,いち — one,B
34,一年,What is the reading and meaning of this kanji?,いち — one,いちねん — one year,らいねん — next year,とし / ねん — year,いちねん — one year,B
35,一か月,What is the reading and meaning of this kanji?,つき — moon / month,いっしゅうかん — one week,いっかげつ — one month,いち — one,いっかげつ — one month,C
36,一人,What is the reading and meaning of this kanji?,ひと — person,ひとり — one person / alone,おおいひと — many people,ひとつ — one (thing),ひとり — one person / alone,B
37,一つ,What is the reading and meaning of this kanji?,ひとつ — one (thing),いっかげつ — one month,ひとり — one person / alone,いち — one,ひとつ — one (thing),A
38,二,What is the reading and meaning of this kanji?,にがつ — February,に — two,にほん — two (long objects),にふん — two minutes,に — two,B
39,三,What is the reading and meaning of this kanji?,さん — three,さんにん — three people,みっつ — three (things),さんびゃくえん — 300 yen,さん — three,A
40,二月,What is the reading and meaning of this kanji?,しがつ — April,にがつ — February,に — two,しちがつ — July,にがつ — February,B
41,二つ,What is the reading and meaning of this kanji?,ふたり — two people,ふつかめ — the second day,にふん — two minutes,ふたつ — two (things),ふたつ — two (things),D
42,二人,What is the reading and meaning of this kanji?,ひとり — one person / alone,ふたつ — two (things),にふん — two minutes,ふたり — two people,ふたり — two people,D
43,三人,What is the reading and meaning of this kanji?,ごにん — five people,さんにん — three people,さん — three,せんにん — a thousand people,さんにん — three people,B
44,三つ,What is the reading and meaning of this kanji?,みっつ — three (things),さん — three,さんびゃくえん — 300 yen,さんにん — three people,みっつ — three (things),A
45,四月,What is the reading and meaning of this kanji?,はちがつ — August,にがつ — February,しがつ — April,しちがつ — July,しがつ — April,C
46,四,What is the reading and meaning of this kanji?,し / よん — four,よんほん — four (long objects),しがつ — April,よにん — four people,し / よん — four,A
47,四本,What is the reading and meaning of this kanji?,よにん — four people,にほん — two (long objects),よんほん — four (long objects),ほん — book,よんほん — four (long objects),C
48,四人,What is the reading and meaning of this kanji?,さんにん — three people,よにん — four people,し / よん — four,ごにん — five people,よにん — four people,B
49,五,What is the reading and meaning of this kanji?,ご — language / word,ご — five,ごがついつか — May 5th,ごにん — five people,ご — five,B
50,五月五日,What is the reading and meaning of this kanji?,しがつ — April,ごがついつか — May 5th,しちがつ — July,にがつ — February,ごがついつか — May 5th,B
51,六,What is the reading and meaning of this kanji?,ろくさい — six years old,ろく — six,いまろくじです — it's six o'clock now,ろくねん — six years,ろく — six,B
52,六年,What is the reading and meaning of this kanji?,ろくさい — six years old,ろく — six,とし / ねん — year,ろくねん — six years,ろくねん — six years,D
53,六つ,What is the reading and meaning of this kanji?,ろく — six,ろくさい — six years old,ろくねん — six years,むっつ — six (things),むっつ — six (things),D
54,七月,What is the reading and meaning of this kanji?,はちがつ — August,しちがつ — July,しちじ — seven o'clock,しがつ — April,しちがつ — July,B
55,七がつ,What is the reading and meaning of this kanji?,しちじ — seven o'clock,しがつ — April,はちがつ — August,しちがつ — July,しちがつ — July,D
56,八,What is the reading and meaning of this kanji?,はちがつ — August,はち — eight,はちじはん — 8:30,はっしゅうかん — eight weeks,はち — eight,B
57,八月,What is the reading and meaning of this kanji?,にがつ — February,はち — eight,しちがつ — July,はちがつ — August,はちがつ — August,D
58,八週間,What is the reading and meaning of this kanji?,こんしゅう — this week,はっしゅうかん — eight weeks,しゅう — week,いっしゅうかん — one week,はっしゅうかん — eight weeks,B
59,八日,What is the reading and meaning of this kanji?,とおか — the 10th / ten days,ようか — the 8th / eight days,はっしゅうかん — eight weeks,きょう — today,ようか — the 8th / eight days,B
60,十一,What is the reading and meaning of this kanji?,いちねん — one year,いち — one,じゅうがつ — October,じゅういち — eleven,じゅういち — eleven,D
61,十月,What is the reading and meaning of this kanji?,しがつ — April,にがつ — February,じゅういち — eleven,じゅうがつ — October,じゅうがつ — October,D
62,十日,What is the reading and meaning of this kanji?,ごがついつか — May 5th,ふつかめ — the second day,ようか — the 8th / eight days,とおか — the 10th / ten days,とおか — the 10th / ten days,D
63,百,What is the reading and meaning of this kanji?,さんびゃくえん — 300 yen,ひゃくにん — a hundred people,ひゃく — hundred,ひゃっぽん — a hundred (long objects),ひゃく — hundred,C
64,百人,What is the reading and meaning of this kanji?,ごにん — five people,ひゃく — hundred,ひゃくにん — a hundred people,ひゃっぽん — a hundred (long objects),ひゃくにん — a hundred people,C
65,百本,What is the reading and meaning of this kanji?,ひゃく — hundred,ひゃくにん — a hundred people,ひゃっぽん — a hundred (long objects),ほん — book,ひゃっぽん — a hundred (long objects),C
66,三百円,What is the reading and meaning of this kanji?,えん — yen / circle,さん — three,さんにん — three people,さんびゃくえん — 300 yen,さんびゃくえん — 300 yen,D
67,千,What is the reading and meaning of this kanji?,せん — thousand,にせんえん — 2000 yen,せんにん — a thousand people,せんせい — teacher,せん — thousand,A
68,千人,What is the reading and meaning of this kanji?,ごにん — five people,せんにん — a thousand people,せん — thousand,さんにん — three people,せんにん — a thousand people,B
69,二千円,What is the reading and meaning of this kanji?,せん — thousand,せんにん — a thousand people,にせんえん — 2000 yen,えん — yen / circle,にせんえん — 2000 yen,C
70,万,What is the reading and meaning of this kanji?,まい — every,"いちまんえん — 10,000 yen",さん — three,まん — ten thousand,まん — ten thousand,D
71,一万円,What is the reading and meaning of this kanji?,"いちまんえん — 10,000 yen",いちねん — one year,まん — ten thousand,えん — yen / circle,"いちまんえん — 10,000 yen",A
72,円,What is the reading and meaning of this kanji?,さんびゃくえん — 300 yen,にせんえん — 2000 yen,"いちまんえん — 10,000 yen",えん — yen / circle,えん — yen / circle,D
73,口,What is the reading and meaning of this kanji?,いりぐち — entrance,くち — mouth,にしぐち — west exit/entrance,でぐち — exit,くち — mouth,B
74,入口,What is the reading and meaning of this kanji?,くち — mouth,にしぐち — west exit/entrance,いりぐち — entrance,でぐち — exit,いりぐち — entrance,C
75,出口,What is the reading and meaning of this kanji?,にしぐち — west exit/entrance,いりぐち — entrance,でぐち — exit,くち — mouth,でぐち — exit,C
76,入口,What is the reading and meaning of this kanji?,でぐち — exit,いりぐち — entrance,くち — mouth,にしぐち — west exit/entrance,いりぐち — entrance,B
77,口をとじます,What is the reading and meaning of this kanji?,くちをあけます — to open one's mouth,くち — mouth,くちをとじます — to close one's mouth,おおきいくち — big mouth,くちをとじます — to close one's mouth,C
78,口をあけます,What is the reading and meaning of this kanji?,くちをあけます — to open one's mouth,おおきいくち — big mouth,くちをとじます — to close one's mouth,くち — mouth,くちをあけます — to open one's mouth,A
79,大きい口,What is the reading and meaning of this kanji?,おおきいくち — big mouth,おおきいこえ — loud voice,おおきいそら — big/vast sky,からだがおおきいです — the body is big,おおきいくち — big mouth,A
80,駅のかいさつ口,What is the reading and meaning of this kanji?,いりぐち — entrance,えきのかいさつぐち — station ticket gate,でぐち — exit,おおきいくち — big mouth,えきのかいさつぐち — station ticket gate,B
81,目,What is the reading and meaning of this kanji?,め — eye,いちにちめ — the first day,ふつかめ — the second day,めをあけます — to open one's eyes,め — eye,A
82,目をあけます,What is the reading and meaning of this kanji?,ふつかめ — the second day,めをあけます — to open one's eyes,めをとじます — to close one's eyes,め — eye,めをあけます — to open one's eyes,B
83,一日目,What is the reading and meaning of this kanji?,ふつかめ — the second day,いちにちじゅう — all day long,いちにちめ — the first day,いち — one,いちにちめ — the first day,C
84,二日目,What is the reading and meaning of this kanji?,め — eye,ふたつ — two (things),いちにちめ — the first day,ふつかめ — the second day,ふつかめ — the second day,D
85,目をとじます,What is the reading and meaning of this kanji?,ふつかめ — the second day,め — eye,めをとじます — to close one's eyes,めをあけます — to open one's eyes,めをとじます — to close one's eyes,C
86,耳,What is the reading and meaning of this kanji?,みみ — ear,みなみ — south,みみがいたいです — my ear hurts,みみをすませます — to listen carefully,みみ — ear,A
87,耳がいたいです,What is the reading and meaning of this kanji?,みみ — ear,みみをすませます — to listen carefully,からだがいたいです — my body hurts,みみがいたいです — my ear hurts,みみがいたいです — my ear hurts,D
88,耳をすませます,What is the reading and meaning of this kanji?,みみをすませます — to listen carefully,てがみをかきます — I write a letter,みみ — ear,みみがいたいです — my ear hurts,みみをすませます — to listen carefully,A
89,手,What is the reading and meaning of this kanji?,てがみ — letter (手紙),へた — unskillful,て — hand,みぎて — right hand,て — hand,C
90,右手,What is the reading and meaning of this kanji?,みぎて — right hand,みぎ — right,て — hand,みぎあし — right foot/leg,みぎて — right hand,A
91,手がみ,What is the reading and meaning of this kanji?,て — hand,てがみ — letter (手紙),てがみをかきます — I write a letter,みぎて — right hand,てがみ — letter (手紙),B
92,手をあらいます,What is the reading and meaning of this kanji?,てがみをかきます — I write a letter,てをあらいます — to wash one's hands,て — hand,てをあけます — to free up one's hands,てをあらいます — to wash one's hands,B
93,手をあけます,What is the reading and meaning of this kanji?,てをあらいます — to wash one's hands,てをあけます — to free up one's hands,てがみをかきます — I write a letter,て — hand,てをあけます — to free up one's hands,B
94,足,What is the reading and meaning of this kanji?,みじかいあし — short legs,ひだりあし — left foot/leg,みぎあし — right foot/leg,あし — foot / leg,あし — foot / leg,D
95,足が長いです,What is the reading and meaning of this kanji?,ながい — long,あしがながいです — the legs are long,あし — foot / leg,みぎあし — right foot/leg,あしがながいです — the legs are long,B
96,左足,What is the reading and meaning of this kanji?,ひだり — left,みぎあし — right foot/leg,あし — foot / leg,ひだりあし — left foot/leg,ひだりあし — left foot/leg,D
97,足ります,What is the reading and meaning of this kanji?,あし — foot / leg,ひだりあし — left foot/leg,あしがながいです — the legs are long,たります — to be enough (足りる),たります — to be enough (足りる),D
98,みじかい足,What is the reading and meaning of this kanji?,ひだりあし — left foot/leg,あし — foot / leg,みぎあし — right foot/leg,みじかいあし — short legs,みじかいあし — short legs,D
99,体,What is the reading and meaning of this kanji?,ちいさいからだ — small body,からだがおおきいです — the body is big,からだがいたいです — my body hurts,からだ — body,からだ — body,D
100,体がいたいです,What is the reading and meaning of this kanji?,からだがおおきいです — the body is big,からだがいたいです — my body hurts,からだ — body,ちいさいからだ — small body,からだがいたいです — my body hurts,B
101,体力,What is the reading and meaning of this kanji?,からだがいたいです — my body hurts,ちいさいからだ — small body,からだ — body,たいりょく — physical strength,たいりょく — physical strength,D
102,体が大きいです,What is the reading and meaning of this kanji?,おおきいそら — big/vast sky,おおきいくち — big mouth,からだがいたいです — my body hurts,からだがおおきいです — the body is big,からだがおおきいです — the body is big,D
103,小さい体,What is the reading and meaning of this kanji?,ちいさいからだ — small body,からだ — body,からだがいたいです — my body hurts,ちいさいえき — small station,ちいさいからだ — small body,A
104,人,What is the reading and meaning of this kanji?,おとな — adult,ひとり — one person / alone,ひと — person,おおいひと — many people,ひと — person,C
105,日本人,What is the reading and meaning of this kanji?,にほんご — Japanese language,ひがしにほん — Eastern Japan,にほんじん — Japanese person,にほんごをはなします — I speak Japanese,にほんじん — Japanese person,C
106,五人,What is the reading and meaning of this kanji?,よにん — four people,ご — five,ごにん — five people,さんにん — three people,ごにん — five people,C
107,人がおおい,What is the reading and meaning of this kanji?,ひとがおおい — many people,ひと — person,おおいひと — many people,ひとがすくない — there are few people,ひとがおおい — many people,A
108,大人,What is the reading and meaning of this kanji?,ひと — person,おおいひと — many people,おとな — adult,おとこのひと — man,おとな — adult,C
109,父,What is the reading and meaning of this kanji?,おとうさん — father (polite),ふし — father and child,ちち — father (own),いちにちめ — the first day,ちち — father (own),C
110,お父さん,What is the reading and meaning of this kanji?,おかあさん — mother (polite),おとうさん — father (polite),ふし — father and child,ちち — father (own),おとうさん — father (polite),B
111,父子,What is the reading and meaning of this kanji?,じょし — girl / female,じょし — girl,おおじょし — tall/big woman,ふし — father and child,ふし — father and child,D
112,母,What is the reading and meaning of this kanji?,ははのひ — Mother's Day,おかあさん — mother (polite),はちじはん — 8:30,はは — mother (own),はは — mother (own),D
113,母の日,What is the reading and meaning of this kanji?,はは — mother (own),ははのひ — Mother's Day,はんにち — half a day,ひがしにほん — Eastern Japan,ははのひ — Mother's Day,B
114,お母さん,What is the reading and meaning of this kanji?,おかあさん — mother (polite),はは — mother (own),おとうさん — father (polite),ははのひ — Mother's Day,おかあさん — mother (polite),A
115,子,What is the reading and meaning of this kanji?,おんなのこ — girl,こ — child,こども — child(ren),じょし — girl / female,こ — child,B
116,子ども,What is the reading and meaning of this kanji?,おんなのこ — girl,こども — child(ren),こどものとき — when I was a child,こ — child,こども — child(ren),B
117,山下さんの子,What is the reading and meaning of this kanji?,やましたさんのこ — Mr./Ms. Yamashita's child,おんなのこ — girl,やま — mountain,した — below / under,やましたさんのこ — Mr./Ms. Yamashita's child,A
118,男,What is the reading and meaning of this kanji?,おとこのひと — man,だんしがくせい — male student,おとこ — man / male,おとな — adult,おとこ — man / male,C
119,男子学生,What is the reading and meaning of this kanji?,だんしがくせい — male student,けんがく — study tour / field trip,がくせい — student,ちゅうがくせい — junior high student,だんしがくせい — male student,A
120,男の人,What is the reading and meaning of this kanji?,おとこ — man / male,おとこのひと — man,おおいひと — many people,ひと — person,おとこのひと — man,B
121,女,What is the reading and meaning of this kanji?,おうじょ — princess,おおじょし — tall/big woman,おんなのこ — girl,おんな — woman / female,おんな — woman / female,D
122,女子,What is the reading and meaning of this kanji?,おおじょし — tall/big woman,じょし — girl / female,じょし — girl,じょしから — from the girls,じょし — girl / female,B
123,女の子,What is the reading and meaning of this kanji?,おおじょし — tall/big woman,おんなのこ — girl,じょし — girl,じょし — girl / female,おんなのこ — girl,B
124,王女,What is the reading and meaning of this kanji?,じょし — girl / female,おおじょし — tall/big woman,じょし — girl,おうじょ — princess,おうじょ — princess,D
125,学,What is the reading and meaning of this kanji?,がく — study / learning,だいがく — university,けんがく — study tour / field trip,がくせい — student,がく — study / learning,A
126,学校,What is the reading and meaning of this kanji?,がく — study / learning,がっこう — school,しょうがっこう — elementary school,こうこう — high school,がっこう — school,B
127,大学,What is the reading and meaning of this kanji?,がく — study / learning,だい — big / large,ただい — great / immense,だいがく — university,だいがく — university,D
128,生,What is the reading and meaning of this kanji?,こうこうせい — high school student,せんせい — teacher,がくせい — student,せい — life / birth / student,せい — life / birth / student,D
129,学生,What is the reading and meaning of this kanji?,だんしがくせい — male student,がく — study / learning,ちゅうがくせい — junior high student,がくせい — student,がくせい — student,D
130,日本で生まれました,What is the reading and meaning of this kanji?,にほんじん — Japanese person,にほんごをはなします — I speak Japanese,にほんご — Japanese language,にほんでうまれました — I was born in Japan,にほんでうまれました — I was born in Japan,D
131,先,What is the reading and meaning of this kanji?,さき — ahead / previous,さきにいきます — I'll go ahead,せんしゅう — last week,せんせい — teacher,さき — ahead / previous,A
132,先生,What is the reading and meaning of this kanji?,せんせい — teacher,せんしゅう — last week,せい — life / birth / student,がくせい — student,せんせい — teacher,A
133,先に行きます,What is the reading and meaning of this kanji?,さきにいきます — I'll go ahead,せんせい — teacher,さき — ahead / previous,かいしゃへいきます — I go to the company,さきにいきます — I'll go ahead,A
134,友,What is the reading and meaning of this kanji?,そと — outside,ひと — person,とも — friend,もの — thing,とも — friend,C
135,上,What is the reading and meaning of this kanji?,つくえのうえ — on the desk,じょうず — skillful,おくじょう — rooftop,うえ — top / above,うえ — top / above,D
136,つくえの上,What is the reading and meaning of this kanji?,のぼる — to climb / ascend,つくえのうえ — on the desk,おくじょう — rooftop,うえ — top / above,つくえのうえ — on the desk,B
137,上がる,What is the reading and meaning of this kanji?,のぼる — to climb / ascend,うえ — top / above,あがる — to rise / go up,あげる — to raise / give,あがる — to rise / go up,C
138,上げる,What is the reading and meaning of this kanji?,あげる — to raise / give,のぼる — to climb / ascend,うえ — top / above,あがる — to rise / go up,あげる — to raise / give,A
139,上手,What is the reading and meaning of this kanji?,じょうず — skillful,おくじょう — rooftop,うえ — top / above,て — hand,じょうず — skillful,A
140,上る,What is the reading and meaning of this kanji?,うえ — top / above,あがる — to rise / go up,あげる — to raise / give,のぼる — to climb / ascend,のぼる — to climb / ascend,D
141,屋上,What is the reading and meaning of this kanji?,じょうず — skillful,つくえのうえ — on the desk,おくじょう — rooftop,うえ — top / above,おくじょう — rooftop,C
142,中,What is the reading and meaning of this kanji?,なか — inside / middle,ちゅうがくせい — junior high student,このなか — among these,くるまのなか — inside the car,なか — inside / middle,A
143,この中,What is the reading and meaning of this kanji?,なか — inside / middle,くるまのなか — inside the car,いちにちじゅう — all day long,このなか — among these,このなか — among these,D
144,中学生,What is the reading and meaning of this kanji?,がくせい — student,ちゅうがくせい — junior high student,がく — study / learning,だんしがくせい — male student,ちゅうがくせい — junior high student,B
145,一日中,What is the reading and meaning of this kanji?,いちにちじゅう — all day long,まいにち — every day,いち — one,いちにちめ — the first day,いちにちじゅう — all day long,A
146,車の中,What is the reading and meaning of this kanji?,なか — inside / middle,くるまのなか — inside the car,このなか — among these,やすいくるま — cheap car,くるまのなか — inside the car,B
147,下,What is the reading and meaning of this kanji?,した — below / under,へた — unskillful,したより — from below,テーブルのした — under the table,した — below / under,A
148,テーブルの下,What is the reading and meaning of this kanji?,へた — unskillful,したより — from below,テーブルのした — under the table,した — below / under,テーブルのした — under the table,C
149,下より,What is the reading and meaning of this kanji?,テーブルのした — under the table,したより — from below,した — below / under,へた — unskillful,したより — from below,B
150,下手,What is the reading and meaning of this kanji?,したより — from below,て — hand,へた — unskillful,した — below / under,へた — unskillful,C
151,下がる,What is the reading and meaning of this kanji?,した — below / under,さがる — to go down / decrease,やましたさんのこ — Mr./Ms. Yamashita's child,へた — unskillful,さがる — to go down / decrease,B
152,右,What is the reading and meaning of this kanji?,みぎて — right hand,みぎあし — right foot/leg,みみ — ear,みぎ — right,みぎ — right,D
153,右足,What is the reading and meaning of this kanji?,みぎあし — right foot/leg,あし — foot / leg,みぎ — right,みぎて — right hand,みぎあし — right foot/leg,A
154,左,What is the reading and meaning of this kanji?,ひだり — left,ひだりあし — left foot/leg,ひだりにまがります — to turn left,ひとり — one person / alone,ひだり — left,A
155,左にまがります,What is the reading and meaning of this kanji?,ひだりにまがります — to turn left,ひだり — left,あめがふります — it rains,ひだりあし — left foot/leg,ひだりにまがります — to turn left,A
156,外,What is the reading and meaning of this kanji?,そと — outside,がいこく — foreign country,へやのそとへでます — to go outside the room,がいこくじん — foreigner,そと — outside,A
157,外国,What is the reading and meaning of this kanji?,がいこく — foreign country,きこく — returning to one's country,がいこくじん — foreigner,こくりつ — national (institution),がいこく — foreign country,A
158,へやの外へ出ます,What is the reading and meaning of this kanji?,でかける — to go out,へやのそとへでます — to go outside the room,でぐち — exit,そと — outside,へやのそとへでます — to go outside the room,B
159,東,What is the reading and meaning of this kanji?,ひがしにほん — Eastern Japan,ひがしぐち — east exit/entrance,とうきょう — Tokyo,ひがし — east,ひがし — east,D
160,東京,What is the reading and meaning of this kanji?,とうきょう — Tokyo,ひがしぐち — east exit/entrance,ひがし — east,ひがしにほん — Eastern Japan,とうきょう — Tokyo,A
161,東口,What is the reading and meaning of this kanji?,ひがしぐち — east exit/entrance,でぐち — exit,ひがし — east,にしぐち — west exit/entrance,ひがしぐち — east exit/entrance,A
162,東日本,What is the reading and meaning of this kanji?,ひがしにほん — Eastern Japan,にほんじん — Japanese person,にほんごをはなします — I speak Japanese,にほんご — Japanese language,ひがしにほん — Eastern Japan,A
163,西,What is the reading and meaning of this kanji?,にし — west,にしぐち — west exit/entrance,に — two,しろ — white,にし — west,A
164,西口,What is the reading and meaning of this kanji?,にしぐち — west exit/entrance,にし — west,でぐち — exit,ひがしぐち — east exit/entrance,にしぐち — west exit/entrance,A
165,南,What is the reading and meaning of this kanji?,みなみ — south,みなみぐち — south exit/entrance,みみ — ear,みなみアメリカ — South America,みなみ — south,A
166,南アメリカ,What is the reading and meaning of this kanji?,みなみ — south,みなみアメリカ — South America,みなみぐち — south exit/entrance,みみ — ear,みなみアメリカ — South America,B
167,南口,What is the reading and meaning of this kanji?,くち — mouth,みなみぐち — south exit/entrance,みなみ — south,でぐち — exit,みなみぐち — south exit/entrance,B
168,北,What is the reading and meaning of this kanji?,き — return,きた — north,た — many / much,きたヨーロッパ — Northern Europe,きた — north,B
169,北ヨーロッパ,What is the reading and meaning of this kanji?,プールのみず — pool water,きた — north,きたヨーロッパ — Northern Europe,ふるいパソコン — old computer,きたヨーロッパ — Northern Europe,C
170,時,What is the reading and meaning of this kanji?,とき — time / when,じかん — time / hour,しちじ — seven o'clock,こどものとき — when I was a child,とき — time / when,A
171,七時,What is the reading and meaning of this kanji?,しちじ — seven o'clock,しちがつ — July,じかん — time,はちじはん — 8:30,しちじ — seven o'clock,A
172,時間,What is the reading and meaning of this kanji?,じかん — time / hour,じかん — time,はちじはん — 8:30,じかんがすこしあります — there's a little time,じかん — time / hour,A
173,子どもの時,What is the reading and meaning of this kanji?,とき — time / when,こ — child,こども — child(ren),こどものとき — when I was a child,こどものとき — when I was a child,D
174,何時,What is the reading and meaning of this kanji?,なんじですか — What time is it?,なに / なん — what,なんじ — what time,じかん — time / hour,なんじ — what time,C
175,間,What is the reading and meaning of this kanji?,あいだ — between / interval,いっしゅうかん — one week,じかん — time,やすみのあいだ — during the break,あいだ — between / interval,A
176,時間,What is the reading and meaning of this kanji?,はちじはん — 8:30,じかん — time / hour,じかん — time,じかんがすこしあります — there's a little time,じかん — time,C
177,一週間,What is the reading and meaning of this kanji?,しゅう — week,いっしゅうかん — one week,らいしゅう — next week,はっしゅうかん — eight weeks,いっしゅうかん — one week,B
178,休みの間,What is the reading and meaning of this kanji?,やすみのあいだ — during the break,あいだ — between / interval,やすむ — to rest,いっしゅうかん — one week,やすみのあいだ — during the break,A
179,分,What is the reading and meaning of this kanji?,はんぶん — half,にふん — two minutes,いちじにふん — 1:02,ふん / ぶん — minute / part,ふん / ぶん — minute / part,D
180,二分,What is the reading and meaning of this kanji?,にふん — two minutes,に — two,いちじにふん — 1:02,にほん — two (long objects),にふん — two minutes,A
181,一時二分,What is the reading and meaning of this kanji?,いち — one,にふん — two minutes,いちねん — one year,いちじにふん — 1:02,いちじにふん — 1:02,D
182,半,What is the reading and meaning of this kanji?,はんにち — half a day,はんとし — half a year,はんぶん — half,はん — half,はん — half,D
183,八時半,What is the reading and meaning of this kanji?,はちじはん — 8:30,はん — half,じかん — time,はち — eight,はちじはん — 8:30,A
184,半年,What is the reading and meaning of this kanji?,とし / ねん — year,はんとし — half a year,ことし — this year,はん — half,はんとし — half a year,B
185,半日,What is the reading and meaning of this kanji?,はんにち — half a day,はんぶん — half,はん — half,まいにち — every day,はんにち — half a day,A
186,半分,What is the reading and meaning of this kanji?,はんにち — half a day,ふん / ぶん — minute / part,はん — half,はんぶん — half,はんぶん — half,D
187,今,What is the reading and meaning of this kanji?,いま — now,いまろくじです — it's six o'clock now,ことし — this year,こんしゅう — this week,いま — now,A
188,今週,What is the reading and meaning of this kanji?,しゅう — week,こんしゅう — this week,まいしゅう — every week,せんしゅう — last week,こんしゅう — this week,B
189,今日,What is the reading and meaning of this kanji?,こんしゅう — this week,きょう — today,きゅうじつ — holiday / day off,ようか — the 8th / eight days,きょう — today,B
