No,Kanji,Hiragana,Meaning,Easy,Medium,Hard
22,週,しゅう,week,週です。(It's a week.),一週は七日です。(A week is seven days.),"週の初めに、一週間の予定を立てます。(At the start of the week, I make plans for the week.)"
23,今週,こんしゅう,this week,今週です。(It's this week.),今週は忙しいです。(This week is busy.),"今週は忙しいですから、あまり寝ません。(This week is busy, so I don't sleep much.)"
24,先週,せんしゅう,last week,先週です。(It was last week.),先週、雨でした。(It rained last week.),"先週は雨でしたから、山へ行きませんでした。(It rained last week, so I didn't go to the mountain.)"
25,来週,らいしゅう,next week,来週です。(It's next week.),来週、旅行します。(I'll travel next week.),"来週は休みですから、旅行するつもりです。(Next week is a holiday, so I intend to travel.)"
26,一週間,いっしゅうかん,one week,一週間です。(It's one week.),一週間、休みます。(I'll rest for one week.),"一週間仕事をしましたから、少し休みます。(I worked for a week, so I'll rest a little.)"
27,年,とし / ねん,year,年です。(It's a year.),今年は忙しいです。(This year is busy.),"毎年、家族と旅行に行きます。(Every year, I go traveling with my family.)"
28,今年,ことし,this year,今年です。(It's this year.),今年は暑いです。(This year is hot.),"今年は暑いですから、プールへよく行きます。(This year is hot, so I often go to the pool.)"
29,来年,らいねん,next year,来年です。(It's next year.),来年、日本へ行きます。(I'll go to Japan next year.),"来年は日本へ行くつもりですから、お金を貯めます。(I intend to go to Japan next year, so I save money.)"
30,毎,まい,every,毎朝です。(It's every morning.),毎朝、走ります。(I run every morning.),"毎朝走りますから、体が丈夫です。(I run every morning, so my body is healthy.)"
31,毎日,まいにち,every day,毎日です。(It's every day.),毎日、勉強します。(I study every day.),"毎日勉強しますから、日本語が上手になりました。(I study every day, so I became good at Japanese.)"
32,毎週,まいしゅう,every week,毎週です。(It's every week.),毎週、映画を見ます。(I watch a movie every week.),"毎週土曜日に、映画を見に行きます。(Every Saturday, I go to watch a movie.)"
33,一,いち,one,一です。(It's one.),一からやります。(I'll do it from one.),"一からやりますから、時間がかかります。(I do it from one, so it takes time.)"
34,一年,いちねん,one year,一年です。(It's one year.),一年、日本にいました。(I was in Japan for one year.),"一年日本にいましたから、日本語が上手です。(I was in Japan for a year, so I'm good at Japanese.)"
35,一か月,いっかげつ,one month,一か月です。(It's one month.),一か月、休みます。(I'll rest for one month.),"一か月休みましたから、元気になりました。(I rested for a month, so I became healthy.)"
36,一人,ひとり,one person / alone,一人です。(I'm alone.),一人で行きます。(I'll go alone.),"一人で映画を見ますから、静かです。(I watch a movie alone, so it's quiet.)"
37,一つ,ひとつ,one (thing),一つです。(It's one.),りんごが一つあります。(There is one apple.),"質問が一つありますから、聞いてもいいですか。(I have one question, so may I ask?)"
38,二,に,two,二です。(It's two.),二つに分けます。(I'll divide it into two.),"二人で分けますから、半分ずつです。(Two of us split it, so it's half each.)"
39,三,さん,three,三です。(It's three.),三時に会います。(I'll meet at three.),"三時に会いますから、今から準備します。(I'll meet at three, so I'll prepare now.)"
40,二月,にがつ,February,二月です。(It's February.),二月は寒いです。(February is cold.),"二月は寒いですから、コートを着ます。(February is cold, so I wear a coat.)"
41,二つ,ふたつ,two (things),二つです。(It's two.),りんごが二つあります。(There are two apples.),"りんごが二つありますから、一つあげます。(There are two apples, so I'll give you one.)"
42,二人,ふたり,two people,二人です。(It's two people.),二人で行きます。(Two of us will go.),"二人で行きますから、車を使います。(Two of us will go, so we'll use a car.)"
43,三人,さんにん,three people,三人です。(It's three people.),三人で旅行します。(The three of us will travel.),"三人で旅行しますから、部屋を三つ取ります。(The three of us will travel, so we'll take three rooms.)"
44,三つ,みっつ,three (things),三つです。(It's three.),卵が三つあります。(There are three eggs.),"卵が三つありますから、ケーキを作ります。(There are three eggs, so I'll make a cake.)"
45,四月,しがつ,April (dup. of #3),四月です。(It's April.),四月に入学します。(I'll enroll in April.),"四月に入学しますから、今準備しています。(I'll enroll in April, so I'm preparing now.)"
46,四,し / よん,four,四です。(It's four.),四時間、勉強しました。(I studied for four hours.),"四時間勉強しましたから、疲れました。(I studied for four hours, so I got tired.)"
47,四本,よんほん,four (long objects),四本です。(It's four.),えんぴつが四本あります。(There are four pencils.),"えんぴつが四本ありますから、二本貸します。(There are four pencils, so I'll lend you two.)"
48,四人,よにん,four people,四人です。(It's four people.),四人家族です。(We're a family of four.),"四人家族ですから、車が大きいです。(We're a family of four, so the car is big.)"
49,五,ご,five,五です。(It's five.),五時に帰ります。(I'll go home at five.),"五時に帰りますから、六時に晩ご飯を食べます。(I'll go home at five, so I'll eat dinner at six.)"
50,五月五日,ごがついつか,May 5th,五月五日です。(It's May 5th.),五月五日はこどもの日です。(May 5th is Children's Day.),"五月五日はこどもの日ですから、学校は休みです。(May 5th is Children's Day, so school is off.)"
51,六,ろく,six,六です。(It's six.),六時に起きます。(I wake up at six.),"六時に起きますから、五時半に目覚まし時計をかけます。(I wake up at six, so I set the alarm for 5:30.)"
52,六年,ろくねん,six years,六年です。(It's six years.),六年、勉強しました。(I studied for six years.),"六年勉強しましたから、日本語が上手です。(I studied for six years, so I'm good at Japanese.)"
53,六つ,むっつ,six (things),六つです。(It's six.),みかんが六つあります。(There are six mandarins.),"みかんが六つありますから、みんなに配ります。(There are six mandarins, so I'll hand them out to everyone.)"
54,七月,しちがつ,July,七月です。(It's July.),七月は暑いです。(July is hot.),"七月は暑いですから、プールへ行きます。(July is hot, so I go to the pool.)"
55,七がつ,しちがつ,July (dup. of #54),七月です。(It's July.),七月に休みを取ります。(I'll take a vacation in July.),"七月に休みを取りますから、旅行の計画を立てます。(I'll take a vacation in July, so I'll make a travel plan.)"
56,八,はち,eight,八です。(It's eight.),八時に寝ます。(I go to sleep at eight.),"八時に寝ますから、七時にお風呂に入ります。(I go to sleep at eight, so I take a bath at seven.)"
57,八月,はちがつ,August,八月です。(It's August.),八月は夏休みです。(August is summer vacation.),"八月は夏休みですから、学校がありません。(August is summer vacation, so there's no school.)"
58,八週間,はっしゅうかん,eight weeks,八週間です。(It's eight weeks.),八週間、勉強します。(I'll study for eight weeks.),"八週間勉強しますから、少しずつ上手になります。(I'll study for eight weeks, so I'll gradually get better.)"
59,八日,ようか,the 8th / eight days,八日です。(It's the 8th.),八日間、旅行します。(I'll travel for eight days.),"八日間旅行しますから、荷物が多いです。(I'll travel for eight days, so I have a lot of luggage.)"
60,十一,じゅういち,eleven,十一です。(It's eleven.),十一時に会います。(I'll meet at eleven.),"十一時に会いますから、十時に家を出ます。(I'll meet at eleven, so I'll leave home at ten.)"
61,十月,じゅうがつ,October,十月です。(It's October.),十月は涼しいです。(October is cool.),"十月は涼しいですから、外で散歩します。(October is cool, so I take a walk outside.)"
62,十日,とおか,the 10th / ten days,十日です。(It's the 10th.),十日間、休みます。(I'll rest for ten days.),"十日間休みますから、旅行するつもりです。(I'll rest for ten days, so I intend to travel.)"
63,百,ひゃく,hundred,百です。(It's a hundred.),百まで数えます。(I'll count to a hundred.),"百まで数えますから、少し時間がかかります。(I'll count to a hundred, so it takes a little time.)"
64,百人,ひゃくにん,a hundred people,百人です。(It's a hundred people.),会場に百人います。(There are a hundred people at the venue.),"会場に百人いますから、席が足りません。(There are a hundred people at the venue, so the seats aren't enough.)"
65,百本,ひゃっぽん,a hundred (long objects),百本です。(It's a hundred.),木が百本あります。(There are a hundred trees.),"木が百本ありますから、公園は涼しいです。(There are a hundred trees, so the park is cool.)"
66,三百円,さんびゃくえん,300 yen,三百円です。(It's 300 yen.),三百円しかありません。(I only have 300 yen.),"三百円しかありませんから、これは買えません。(I only have 300 yen, so I can't buy this.)"
67,千,せん,thousand,千です。(It's a thousand.),千円札があります。(I have a thousand-yen bill.),"千円札がありますから、両替してください。(I have a thousand-yen bill, so please exchange it.)"
68,千人,せんにん,a thousand people,千人です。(It's a thousand people.),会場に千人います。(There are a thousand people at the venue.),"会場に千人いますから、とても賑やかです。(There are a thousand people at the venue, so it's very lively.)"
69,二千円,にせんえん,2000 yen,二千円です。(It's 2000 yen.),二千円貸してください。(Please lend me 2000 yen.),二千円貸してくださいますか、明日返します。(Could you lend me 2000 yen? I'll return it tomorrow.)
70,万,まん,ten thousand,万です。(It's ten thousand.),一万は大きい数字です。(Ten thousand is a big number.),"一万は大きい数字ですから、覚えにくいです。(Ten thousand is a big number, so it's hard to remember.)"
71,一万円,いちまんえん,"10,000 yen","一万円です。(It's 10,000 yen.)","一万円落としました。(I dropped 10,000 yen.)","一万円落としましたから、交番へ行きます。(I dropped 10,000 yen, so I'll go to the police box.)"
72,円,えん,yen / circle,百円です。(It's 100 yen.),円をかきます。(I'll draw a circle.),"紙に円をかきますから、鉛筆をください。(I'll draw a circle on the paper, so please give me a pencil.)"
73,口,くち,mouth,口です。(It's a mouth.),口を開けます。(I open my mouth.),"口を開けますから、見てください。(I'll open my mouth, so please look.)"
74,入口,いりぐち,entrance,入口です。(It's the entrance.),入口はここです。(The entrance is here.),"入口はここですから、ここで待ちましょう。(The entrance is here, so let's wait here.)"
75,出口,でぐち,exit,出口です。(It's the exit.),出口はあちらです。(The exit is over there.),"出口はあちらですから、あちらへ行ってください。(The exit is over there, so please go that way.)"
76,入口,いりぐち,entrance (dup. of #74),入口です。(It's the entrance.),東の入口を使います。(I'll use the east entrance.),"東の入口を使いますから、東口で会いましょう。(I'll use the east entrance, so let's meet at the east exit.)"
77,口をとじます,くちをとじます,to close one's mouth,口をとじます。(I close my mouth.),静かに口をとじます。(I quietly close my mouth.),口をとじてください、写真を撮ります。(Please close your mouth; I'll take a photo.)
78,口をあけます,くちをあけます,to open one's mouth,口をあけます。(I open my mouth.),大きく口をあけます。(I open my mouth wide.),口を大きくあけてください、見てみます。(Please open your mouth wide; I'll take a look.)
79,大きい口,おおきいくち,big mouth,大きい口です。(It's a big mouth.),あの魚は大きい口です。(That fish has a big mouth.),"あの魚は大きい口ですから、小さい魚を食べます。(That fish has a big mouth, so it eats small fish.)"
80,駅のかいさつ口 [?],えきのかいさつぐち,station ticket gate,かいさつ口です。(It's the ticket gate.),かいさつ口で待ちます。(I'll wait at the ticket gate.),"駅のかいさつ口で待ちますから、そこへ来てください。(I'll wait at the station ticket gate, so please come there.)"
81,目,め,eye,目です。(It's an eye.),目が痛いです。(My eye hurts.),"目が痛いですから、病院へ行きます。(My eye hurts, so I'll go to the hospital.)"
82,目をあけます,めをあけます,to open one's eyes,目をあけます。(I open my eyes.),ゆっくり目をあけます。(I slowly open my eyes.),目をあけてください、朝ですよ。(Please open your eyes; it's morning.)
83,一日目,いちにちめ,the first day,一日目です。(It's the first day.),一日目は緊張しました。(I was nervous on the first day.),"一日目は緊張しましたが、二日目は大丈夫でした。(I was nervous on the first day, but the second day was fine.)"
84,二日目,ふつかめ,the second day,二日目です。(It's the second day.),二日目から慣れました。(I got used to it from the second day.),"二日目から慣れましたから、楽しくなりました。(I got used to it from the second day, so it became fun.)"
85,目をとじます,めをとじます,to close one's eyes,目をとじます。(I close my eyes.),静かに目をとじます。(I quietly close my eyes.),"音楽を聞くとき、目をとじます。(When I listen to music, I close my eyes.)"
86,耳,みみ,ear,耳です。(It's an ear.),耳が痛いです。(My ear hurts.),"耳が痛いですから、プールに入りません。(My ear hurts, so I won't go into the pool.)"
87,耳がいたいです,みみがいたいです,my ear hurts,耳が痛いです。(My ear hurts.),昨日から耳が痛いです。(My ear has hurt since yesterday.),"昨日から耳が痛いですから、病院へ行くつもりです。(My ear has hurt since yesterday, so I intend to go to the hospital.)"
88,耳をすませます,みみをすませます,to listen carefully,耳をすませます。(I listen carefully.),静かに耳をすませます。(I quietly listen carefully.),"森の中で、耳をすませて鳥の声を聞きます。(In the forest, I listen carefully and hear bird calls.)"
89,手,て,hand,手です。(It's a hand.),手が冷たいです。(My hand is cold.),"手が冷たいですから、手袋をします。(My hand is cold, so I wear gloves.)"
90,右手,みぎて,right hand,右手です。(It's the right hand.),右手でペンを持ちます。(I hold the pen with my right hand.),"右手でペンを持ちますから、左手はノートを押さえます。(I hold the pen with my right hand, so my left hand holds the notebook down.)"
91,手がみ,てがみ,letter (手紙),手紙です。(It's a letter.),手紙を書きます。(I write a letter.),"友達に手紙を書きますから、切手を買います。(I'll write a letter to my friend, so I'll buy a stamp.)"
92,手をあらいます,てをあらいます,to wash one's hands,手を洗います。(I wash my hands.),食事の前に手を洗います。(I wash my hands before eating.),"食事の前に手を洗いますから、石けんを使ってください。(I wash my hands before eating, so please use soap.)"
93,手をあけます,てをあけます,to free up one's hands,手をあけます。(I free up my hands.),少し手をあけます。(I'll free up my hands a bit.),"手をあけますから、手伝ってください。(I'll free up my hands, so please help me.)"
94,足,あし,foot / leg,足です。(It's a foot.),足が痛いです。(My foot hurts.),"足が痛いですから、少し休みます。(My foot hurts, so I'll rest a little.)"
95,足が長いです,あしがながいです,the legs are long,足が長いです。(The legs are long.),あの人は足が長いです。(That person has long legs.),"あの人は足が長いですから、モデルになりました。(That person has long legs, so they became a model.)"
96,左足,ひだりあし,left foot/leg,左足です。(It's the left foot.),左足が痛いです。(My left foot hurts.),"左足が痛いですから、病院へ行きます。(My left foot hurts, so I'll go to the hospital.)"
97,足ります,たります,to be enough (足りる),足ります。(It's enough.),お金が足ります。(The money is enough.),"お金が足りませんから、買い物をしません。(There isn't enough money, so I won't shop.)"
98,みじかい足,みじかいあし,short legs,みじかい足です。(It has short legs.),あの犬はみじかい足です。(That dog has short legs.),"あの犬はみじかい足ですが、速く走ります。(That dog has short legs, but it runs fast.)"
99,体,からだ,body,体です。(It's the body.),体が大きいです。(The body is big.),"体が大きいですから、服が高いです。(The body is big, so the clothes are expensive.)"
100,体がいたいです,からだがいたいです,my body hurts,体が痛いです。(My body hurts.),昨日から体が痛いです。(My body has hurt since yesterday.),"運動会をしましたから、体が痛いです。(I did the sports day, so my body hurts.)"
101,体力,たいりょく,physical strength,体力です。(It's stamina.),体力があります。(I have stamina.),"毎日運動しますから、体力があります。(I exercise every day, so I have stamina.)"
102,体が大きいです,からだがおおきいです,the body is big,体が大きいです。(The body is big.),兄は体が大きいです。(My older brother has a big build.),"兄は体が大きいですから、服が大きいです。(My older brother has a big build, so his clothes are big.)"
103,小さい体,ちいさいからだ,small body,小さい体です。(It's a small body.),あの子は小さい体です。(That child has a small build.),"あの子は小さい体ですが、力が強いです。(That child has a small build, but is strong.)"
104,人,ひと,person,人です。(It's a person.),人がいます。(There is a person.),"駅に人がいますから、少し混んでいます。(There are people at the station, so it's a bit crowded.)"
105,日本人,にほんじん,Japanese person,日本人です。(I'm Japanese.),日本人の友達がいます。(I have a Japanese friend.),"日本人の友達がいますから、日本語を練習します。(I have a Japanese friend, so I practice Japanese.)"
106,五人,ごにん,five people,五人です。(It's five people.),五人で旅行します。(The five of us will travel.),"五人で旅行しますから、車を二台使います。(The five of us will travel, so we'll use two cars.)"
107,人がおおい,ひとがおおい,many people,人が多いです。(There are many people.),週末は人が多いです。(There are many people on weekends.),"週末は人が多いですから、早く行きましょう。(There are many people on weekends, so let's go early.)"
108,大人,おとな,adult,大人です。(I'm an adult.),大人になりました。(I became an adult.),"大人になりましたから、一人で旅行します。(I became an adult, so I'll travel alone.)"
109,父,ちち,father (own),父です。(This is my father.),父は先生です。(My father is a teacher.),"父は先生ですから、いつも忙しいです。(My father is a teacher, so he's always busy.)"
110,お父さん,おとうさん,father (polite),お父さんです。(This is your father.),お父さんは優しいです。(Your father is kind.),"お父さんは優しいですから、みんな好きです。(Your father is kind, so everyone likes him.)"
111,父子,ふし,father and child,父子です。(It's a father and child.),父子で来ました。(A father and child came.),"父子で来ましたから、二人分の切符を買います。(A father and child came, so I'll buy two tickets.)"
112,母,はは,mother (own),母です。(This is my mother.),母は優しいです。(My mother is kind.),"母は優しいですから、みんな好きです。(My mother is kind, so everyone likes her.)"
113,母の日,ははのひ,Mother's Day,母の日です。(It's Mother's Day.),母の日に花をあげます。(I'll give flowers on Mother's Day.),"母の日に花をあげますから、今花屋へ行きます。(I'll give flowers on Mother's Day, so I'll go to the flower shop now.)"
114,お母さん,おかあさん,mother (polite),お母さんです。(This is your mother.),お母さんに会いました。(I met your mother.),"昨日お母さんに会いましたから、少し話しました。(I met your mother yesterday, so we talked a little.)"
115,子,こ,child,子です。(It's a child.),あの子は元気です。(That child is energetic.),"あの子は元気ですから、公園でよく遊びます。(That child is energetic, so they often play in the park.)"
116,子ども,こども,child(ren),子どもです。(It's a child.),子どもと遊びます。(I play with the children.),"週末、子どもと公園で遊びます。(On weekends, I play with the children in the park.)"
117,山下さんの子,やましたさんのこ,Mr./Ms. Yamashita's child,山下さんの子です。(This is Mr. Yamashita's child.),山下さんの子と話しました。(I talked with Mr. Yamashita's child.),"山下さんの子と話しましたが、まだ小さいです。(I talked with Mr. Yamashita's child, but they're still young.)"
118,男,おとこ,man / male,男です。(He's a man.),男の人です。(It's a man.),"男の人が二人来ましたから、部屋に入れました。(Two men came, so I let them into the room.)"
119,男子学生,だんしがくせい,male student,男子学生です。(He's a male student.),男子学生が多いです。(There are many male students.),"このクラスは男子学生が多いですから、賑やかです。(This class has many male students, so it's lively.)"
120,男の人,おとこのひと,man,男の人です。(It's a man.),男の人が立っています。(A man is standing.),"男の人が立っていますから、席をあげます。(A man is standing, so I'll give up my seat.)"
121,女,おんな,woman / female,女です。(She's a woman.),女の人です。(It's a woman.),"女の人が二人来ましたから、椅子を並べました。(Two women came, so I lined up chairs.)"
122,女子,じょし,girl / female,女子です。(She's a girl.),女子学生です。(She's a female student.),"女子学生が多いですから、教室が賑やかです。(There are many female students, so the classroom is lively.)"
123,女の子,おんなのこ,girl,女の子です。(It's a girl.),女の子が遊んでいます。(A girl is playing.),"公園で女の子が遊んでいますから、見に行きます。(A girl is playing in the park, so I'll go watch.)"
124,王女 [?],おうじょ,princess,王女です。(She's a princess.),王女は美しいです。(The princess is beautiful.),その話には、勇気がある王女が出てきます。(A brave princess appears in that story.)
125,学,がく,study / learning,学です。(It's learning.),学があります。(He has learning.),"若いとき、学がありましたから、いい仕事があります。(He had learning when young, so he has a good job.)"
126,学校,がっこう,school,学校です。(It's a school.),学校へ行きます。(I go to school.),"学校へ行きますから、朝早く起きます。(I go to school, so I wake up early in the morning.)"
127,大学,だいがく,university,大学です。(It's a university.),大学に入ります。(I'll enter university.),"大学に入りますから、東京へ引っ越します。(I'll enter university, so I'll move to Tokyo.)"
128,生,せい,life / birth / student,学生です。(It's a student.),一生忘れません。(I won't forget it my whole life.),"一生忘れませんから、写真を撮ります。(I won't forget my whole life, so I'll take a photo.)"
129,学生,がくせい,student,学生です。(I am a student.),学生が多いです。(There are many students.),"このクラスは学生が多いですから、教室が狭いです。(This class has many students, so the classroom is small.)"
130,日本で生まれました,にほんでうまれました,I was born in Japan,日本で生まれました。(I was born in Japan.),東京で生まれました。(I was born in Tokyo.),"東京で生まれましたが、大阪で育ちました。(I was born in Tokyo, but I grew up in Osaka.)"
131,先,さき,ahead / previous,先です。(It's ahead.),先に行きます。(I'll go ahead.),"先に行きますから、後で来てください。(I'll go ahead, so please come later.)"
132,先生,せんせい,teacher,先生です。(He's a teacher.),先生に質問します。(I'll ask the teacher a question.),"先生に質問しますから、手をあげます。(I'll ask the teacher a question, so I raise my hand.)"
133,先に行きます,さきにいきます,I'll go ahead,先に行きます。(I'll go ahead.),私が先に行きます。(I'll go first.),"私が先に行きますから、あとで会いましょう。(I'll go ahead first, so let's meet later.)"
134,友,とも,friend,友です。(It's a friend.),友と話します。(I talk with my friend.),"友と話しますから、電話をかけます。(I'll talk with my friend, so I'll make a call.)"
135,上,うえ,top / above,上です。(It's on top.),机の上にあります。(It's on top of the desk.),"机の上にありますから、そこを見てください。(It's on the desk, so please look there.)"
136,つくえの上,つくえのうえ,on the desk,つくえの上です。(It's on the desk.),つくえの上にあります。(It's on the desk.),"本がつくえの上にありますから、取ってください。(The book is on the desk, so please take it.)"
137,上がる,あがる,to rise / go up,上がります。(It rises.),値段が上がります。(The price will rise.),"値段が上がりましたから、あまり買いません。(The price rose, so I don't buy much.)"
138,上げる,あげる,to raise / give,上げます。(I raise it.),手を上げます。(I raise my hand.),"質問がありますから、手を上げます。(I have a question, so I raise my hand.)"
139,上手,じょうず,skillful,上手です。(I'm good at it.),料理が上手です。(I'm good at cooking.),"彼は日本語が上手ですから、先生になりました。(He's good at Japanese, so he became a teacher.)"
140,上る,のぼる,to climb / ascend,上ります。(I climb.),山に上ります。(I climb the mountain.),"山に上りますから、朝早く出発します。(I'll climb the mountain, so I'll leave early in the morning.)"
141,屋上 [?],おくじょう,rooftop,屋上です。(It's the rooftop.),屋上に行きます。(I'll go to the rooftop.),"屋上に行きますから、階段を使います。(I'll go to the rooftop, so I'll use the stairs.)"
142,中,なか,inside / middle,中です。(It's inside.),中に入ります。(I go inside.),"雨が降りましたから、中に入ります。(It rained, so I'll go inside.)"
143,この中,このなか,among these,この中です。(It's among these.),この中にあります。(It's in here.),"鍵はこの中にありますから、探してください。(The key is in here, so please search.)"
144,中学生,ちゅうがくせい,junior high student,中学生です。(I'm a junior high student.),中学生になりました。(I became a junior high student.),"中学生になりましたから、電車で学校へ行きます。(I became a junior high student, so I go to school by train.)"
145,一日中,いちにちじゅう,all day long,一日中です。(It's all day.),一日中忙しいです。(I'm busy all day.),"一日中忙しかったですから、疲れました。(I was busy all day, so I got tired.)"
146,車の中,くるまのなか,inside the car,車の中です。(It's inside the car.),車の中にいます。(I'm inside the car.),"車の中は暑いですから、窓をあけます。(It's hot inside the car, so I'll open the window.)"
147,下,した,below / under,下です。(It's below.),机の下にあります。(It's under the desk.),"猫が机の下にいますから、静かにします。(The cat is under the desk, so I'll be quiet.)"
148,テーブルの下,テーブルのした,under the table,テーブルの下です。(It's under the table.),テーブルの下にあります。(It's under the table.),"鍵がテーブルの下にありますから、取ってください。(The key is under the table, so please pick it up.)"
149,下より [?],したより,from below,下よりです。(It's from below.),下より上を見ます。(I look up rather than down.),"下より上のほうが景色がいいですから、上に座ります。(The view is better up than down, so I'll sit up top.)"
150,下手,へた,unskillful,下手です。(I'm bad at it.),歌が下手です。(I'm bad at singing.),"歌が下手ですから、あまり歌いません。(I'm bad at singing, so I don't sing much.)"
151,下がる,さがる,to go down / decrease,下がります。(It goes down.),温度が下がります。(The temperature drops.),"夜になりますから、温度が下がります。(Night comes, so the temperature drops.)"
152,右,みぎ,right,右です。(It's the right.),右を見ます。(I look right.),"右に曲がりますから、そこで待ってください。(I'll turn right, so please wait there.)"
153,右足,みぎあし,right foot/leg,右足です。(It's the right foot.),右足が痛いです。(My right foot hurts.),"右足が痛いですから、あまり歩きません。(My right foot hurts, so I don't walk much.)"
154,左,ひだり,left,左です。(It's the left.),左を見ます。(I look left.),"左に銀行がありますから、そこで曲がってください。(There's a bank on the left, so please turn there.)"
155,左にまがります,ひだりにまがります,to turn left,左にまがります。(I turn left.),次の角を左にまがります。(I turn left at the next corner.),"次の角を左にまがりますから、ついてきてください。(I'll turn left at the next corner, so please follow me.)"
156,外,そと,outside,外です。(It's outside.),外は寒いです。(It's cold outside.),"外は寒いですから、コートを着ます。(It's cold outside, so I wear a coat.)"
157,外国,がいこく,foreign country,外国です。(It's a foreign country.),外国へ行きます。(I'll go abroad.),"外国へ行きますから、パスポートを作ります。(I'll go abroad, so I'll make a passport.)"
158,へやの外へ出ます,へやのそとへでます,to go outside the room,外へ出ます。(I go outside.),部屋の外へ出ます。(I go outside the room.),"電話がかかりましたから、部屋の外へ出ます。(A call came, so I'll go outside the room.)"
159,東,ひがし,east,東です。(It's the east.),東に進みます。(I proceed east.),"東に進みますから、地図を見てください。(I'll proceed east, so please look at the map.)"
160,東京,とうきょう,Tokyo,東京です。(It's Tokyo.),東京に住んでいます。(I live in Tokyo.),"東京に住んでいますから、電車をよく使います。(I live in Tokyo, so I use trains a lot.)"
161,東口,ひがしぐち,east exit/entrance,東口です。(It's the east exit.),東口で待ちます。(I'll wait at the east exit.),"東口で待ちますから、そこへ来てください。(I'll wait at the east exit, so please come there.)"
162,東日本,ひがしにほん,Eastern Japan,東日本です。(It's Eastern Japan.),東日本は寒いです。(Eastern Japan is cold.),"東日本は寒いですから、厚い服を持っていきます。(Eastern Japan is cold, so I'll bring thick clothes.)"
