Question,Answer,Marathi,Example,Mnemonic,AI Notes,Reference
What does 「~くて / ~で (connecting adjectives)」mean?,"Connects two or more adjectives in a single sentence, meaning ""and"" (using ""~くて"" for ""い"" adjectives and ""~で"" for ""な"" adjectives).",हा रस्ता रुंद आणि चांगला आहे। — This road is wide and good. Both languages connect multiple descriptors sequentially before ending the sentence with a single final verb/copula.,"Easy: この部屋は広くて明るいです。(このへやはひろくてあかるいです) — This room is spacious and bright. (Why: Connects the ""い"" adjective 広い by changing its ending to くて, followed by the second adjective.)
Medium: あの図書館は静かでとてもいいです。(あのとしょかんはしずかでとてもいいです) — That library is quiet and very good. (Why: Connects the ""な"" adjective 静か by adding で, followed by the ""い"" adjective sentence-ender.)
Hard: 日本の地下鉄はきれいで便利ですが、少し高いです。(にほんのちかてつはきれいでべんりですが、すこしたかいです) — Japan's subways are clean and convenient, but a bit expensive. (Why: Connects two ""な"" adjectives with で, and then links to a contrasting ""い"" adjective clause using が.)","い→くて, な→で — a simple swap-in ending: drop い and add くて, or just add で to a な-adjective.","Common mistake: using て after a な-adjective (❌ 静かて) instead of で — な-adjectives (and nouns)
both connect with で; only い-adjectives use くて.",Analysis checklist #43 (jlpt_n5_flashcard_checklist.md)
What does 「AよりBのほうが」mean?,B is more [adjective] than A.,"A पेक्षा B जास्त (विशेषण) आहे — B is more [adjective] than A. (The postposition ""पेक्षा"" (peksha) directly mirrors the comparison particle ""より"", and ""B च्या बाजूने"" or simply ""B"" matches ""B のほうが"" to indicate the subject possessing the higher degree of the quality).","Easy: 猫より犬のほうが好きです。(ねこ より いぬ のほうが すき です。) — I like dogs more than cats. (Why: Shows a simple comparative preference between two common nouns.)
Medium: カタカナより漢字のほうが難しいです。(かたかな より かんじ のほうが むずかしい です。) — Kanji is more difficult than katakana. (Why: Compares two scripts using a standard い-adjective.)
Hard: 自転車より電車のほうが速くて便利です。(じてんしゃ より でんしゃ のほうが はやくて べんり です。) — Trains are faster and more convenient than bicycles. (Why: Compares two modes of transportation using a compound adjective description linked via て-form.)","より sounds like ""more-y"" — read it as ""more than."" のほうが = ""the side/direction of"" — literally
""more than A, B's side [wins].""","Common mistake: dropping のほうが and just saying ""AとBが"" — that changes the sentence into a plain
listing, not a comparison. The winning item always sits right before のほうが, not after より.",Analysis checklist #47 (jlpt_n5_flashcard_checklist.md)
What does 「AとBとどちらが」mean?,"Which is more [adjective], A or B?","A आणि B मध्ये कोणते जास्त (विशेषण) आहे? — Which is more [adjective], A or B? (The double ""と"" particle marks both options like ""आणि"", while ""どちらが"" functions exactly as the interrogative ""कोणते/कोणता"" in Marathi to ask for a choice between two).","Easy: 犬と猫とどちらが好きですか。(いぬ と ねこ と どちら が すき です か。) — Which do you like more, dogs or cats? (Why: Standard polite question pattern comparing preferences for two animal nouns.)
Medium: 日本語と英語とどちらが難しいですか。(にほんご と えいご と どちら が むずかしい です か。) — Which is more difficult, Japanese or English? (Why: Compares the difficulty of two languages using an い-adjective with the question particle か.)
Hard: 今日と明日とどちらが暇ですか。(きょう と あした と どちら が ひま です か。) — Which day are you more free, today or tomorrow? (Why: Interrogates comparative free time using temporal nouns and a な-adjective.)","どちら = ""which of the two"" — picture holding up two hands, one for A and one for B, and asking
""dochira?"" (this one, or that one?).","Common mistake: using どれ (which of three or more) instead of どちら — どちら is required specifically
when comparing exactly two named options. Also don't drop the second と — both A and B need their
own と (A と B と どちらが).",Analysis checklist #48 (jlpt_n5_flashcard_checklist.md)
What does 「~の中でいちばん」mean?,The most [adjective] among/in [category] (superlative).,"~ मध्ये सर्वात... — The most [adjective] in/among ~. (The compound postposition ""の中で"" directly corresponds to the Marathi locative group marker ""मध्ये"", and ""いちばん"" matches the superlative modifier ""सर्वात"" or ""सगळ्यात"").","Easy: 果物の中でりんごがいちばん好きです。(くだもの の なか で りんご が いちばん すき です。) — Apples are my favorite among fruits. (Why: Identifies a single favorite item from a clear category noun.)
Medium: 家族の中でだれがいちばん背が高いですか。(かぞく の なか で だれ が いちばん せ が たかい です か。) — Who is the tallest person in your family? (Why: Formulates a superlative question within a social group noun using the interrogative ""だれ"".)
Hard: 一年の中で八月がいちばん暑いです。(いちねん の なか で はちがつ が いちばん あつい です。) — August is the hottest month of the year. (Why: States a superlative climate fact within a temporal cycle category.)","の中で = ""inside of"" (中 = inside), いちばん = ""number one"" (一 = one, 番 = rank/number) — literally
""inside [category], (ranked) number one.""","Common mistake: reaching for もっと (""more"") when a superlative is needed — もっと only works for
comparatives, never for ""the most."" Also の中で always needs a group/category noun before it (fruits,
family, the year); it can't stand alone as ""the most.""",Analysis checklist #49 (jlpt_n5_flashcard_checklist.md)
What does 「Noun + です」mean?,"Polite copula meaning ""to be"" (am/is/are) used to declare identity or state.","... आहे (Noun + aahe) — is/am/are. For example: तो विद्यार्थी आहे (To vidyarthi aahe) — He is a student. In this tongue, the verb 'आहे' comes at the end, perfectly matching the SOV pattern of Japanese where 'です' concludes the sentence.","Easy: これは本です。(これ は ほん です) — This is a book. (Why: Standard use of the polite copula to identify an object.)
Medium: 私の弟は学生です。(わたし の おとうと は がくせい です) — My younger brother is a student. (Why: Demonstrates the copula declaring the status of a third-person subject.)
Hard: あの赤い車は山田さんのです。(あの あかい くるま は やまださん の です) — That red car is Mr. Yamada's. (Why: Shows the copula concluding a sentence where the noun after the possessive marker 'の' is omitted.)","です is a polite little ""yes/is"" stamp placed at the very end of a sentence.","Common mistake: attaching です directly onto a verb to make it polite (❌ 食べますです) — です only
pairs with nouns/na-adjectives for ""is/am/are""; verbs already carry their own politeness via ます.",Analysis checklist #17 (jlpt_n5_flashcard_checklist.md)
What does 「Noun + ではありません / じゃないです」mean?,"Polite negative copula meaning ""is not"", ""am not"", or ""are not"".",... नाही (Noun + nahi) — is not / am not / are not. For example: तो विद्यार्थी नाही (To vidyarthi nahi) — He is not a student. Both Japanese (ではありません) and the corresponding Devanagari phrase (नाही) conclude sentences with the negative copula.,"Easy: 私は先生ではありません。(わたし は せんせい ではありません) — I am not a teacher. (Why: Simple polite negation of a noun using the formal ではありません.)
Medium: 今日は日曜日じゃないです。(きょう は にちようび じゃないです) — Today is not Sunday. (Why: Demonstrates the more conversational yet polite negative form 'じゃないです' with a day of the week.)
Hard: あの人はこの学校の学生ではありません。(あの ひと は この がっこう の がくせい ではありません) — That person is not a student of this school. (Why: Negates a noun that is modified by a relative genitive phrase.)","では = ""as for that"" + ありません = ""doesn't exist"" → ""as for that, it doesn't exist [as that].""","Common mistake: assuming じゃないです is less polite than ではありません — both are equally polite;
じゃ is just the natural spoken contraction of では, fine in everyday polite conversation.",Analysis checklist #18 (jlpt_n5_flashcard_checklist.md)
What does 「Noun + でした」mean?,"Polite past tense of the copula です, meaning ""was"" or ""were"".","... होता/होती (Noun + hota/hoti) — was/were. For example: काल सुट्टी होती (Kaal sutti hoti) — Yesterday was a holiday. Just like Japanese 'でした', the local past tense copula is placed at the end of the sentence.","Easy: 昨日は雨でした。(きのう は あめ でした) — Yesterday was rainy. (Why: Uses でした to make a simple past polite statement about a noun (weather).)
Medium: 先週は休みでした。(せんしゅう は やすみ でした) — Last week was a day off. (Why: Employs でした with a past time indicator to describe a past state.)
Hard: 昨日のテストはとても簡単でした。(きのう の てすと は とても かんたん でした) — Yesterday's test was very easy. (Why: Applies でした to a past state described by a な-adjective base.)","でした = です + た (the past marker) — ""was-desu,"" the past tense riding piggyback on です.","Common mistake: tacking でした onto an already-past verb (❌ 食べましたでした) — でした only attaches
to nouns/na-adjectives; verbs carry their own past tense via ました.",Analysis checklist #19 (jlpt_n5_flashcard_checklist.md)
What does 「Noun + ではありませんでした」mean?,"Polite past negative copula meaning ""was not"" or ""were not"".","... नव्हता/नव्हती (Noun + navhta/navhti) — was not / were not. For example: काल सुट्टी नव्हती (Kaal sutti navhti) — Yesterday was not a holiday. The local past negative copula occupies the final position, echoing the structure of 'ではありませんでした'.","Easy: 昨日は休みではありませんでした。(きのう は やすみ ではありませんでした) — Yesterday was not a day off. (Why: baseline demonstration of past polite negative conjugation for a noun.)
Medium: そのテストは簡単ではありませんでした。(その てすと は かんたん ではありませんでした) — That test was not easy. (Why: Negates the past state of a な-adjective (簡単).)
Hard: 先週の金曜日は雨ではありませんでした。(せんしゅう の 金ようび は あめ ではありませんでした) — Last Friday was not rainy. (Why: Connects a past time noun modifier with the formal past negative copula.)","Stack all three pieces: では (as for) + ありません (doesn't exist) + でした (past) — ""as for that, it
didn't exist [as that], back then.""","Common mistake: thinking the shorter じゃなかったです is a separate pattern — it's the same meaning,
just the casual-but-polite version, freely interchangeable with ではありませんでした.",Analysis checklist #20 (jlpt_n5_flashcard_checklist.md)
What does 「Xは Yです」mean?,"The basic sentence structure meaning ""As for X, it is Y"" (X is Y).","X, Y आहे (X, Y aahe) — X is Y. For example: मी शिक्षक आहे (Mi shikshak aahe) — I am a teacher. This represents an identical SOV alignment: Subject (X) + Object/Complement (Y) + Copula (आहे).","Easy: 私は学生です。(わたし は がくせい です) — I am a student. (Why: The most fundamental template of the Xは Yです pattern.)
Medium: 山田さんはこの会社の社員です。(やまださん は この かいしゃ の しゃいん です) — Mr. Yamada is an employee of this company. (Why: Expands the Y component with a noun modifying particle 'の'.)
Hard: 私の趣味は日本の映画を見ることです。(わたし の しゅみ は にほん の えいが を みる こと です) — My hobby is watching Japanese movies. (Why: Nominalizes a verb phrase using 'ること' to fit into the Y noun slot.)","は marks ""as for X..."" and です seals ""...it's Y"" — read the whole sentence as one breath: ""As for X,
Y.""","Common mistake: reaching for が instead of は here — for a simple ""X is Y"" statement, は is almost
always right; が would instead emphasize X as the specific answer to ""who/what is Y?""",Analysis checklist #21 (jlpt_n5_flashcard_checklist.md)
What does 「Xは Yですか」mean?,"The polite question form of ""Is X Y?"", created by adding the question particle か to です.","X, Y आहे का? (X, Y aahe ka?) — Is X Y? For example: तू विद्यार्थी आहेस का? (Tu vidyarthi aahes ka?) — Are you a student? The local question marker 'का' is placed at the absolute end, perfectly matching the position and function of 'か'.","Easy: あなたは学生ですか。(あなた は がくせい ですか) — Are you a student? (Why: Standard baseline question structure using the topic marker and ending question particle.)
Medium: あの人は山田さんの先生ですか。(あの ひと は やまださん の せんせい ですか) — Is that person over there Mr. Yamada's teacher? (Why: Integrates demonstratives and possessives inside a polite question frame.)
Hard: この赤い辞書はあなたのですか。(この あかい じしょ は あなた の ですか) — Is this red dictionary yours? (Why: Forms a question about ownership using a possessive pronoun 'あなた の' before the question copula.)","か is a tiny hook curling up at the end of the sentence, like a question mark riding on です.","Common mistake: adding a written ""?"" on top of か — か alone marks the question in Japanese, so the
question mark is redundant (common informally, but not needed). Word order otherwise stays exactly
statement-like.",Analysis checklist #22 (jlpt_n5_flashcard_checklist.md)
What does 「があります」mean?,"There is / are (used to show the existence of inanimate, non-living things).","टेबलावर पुस्तक आहे (Teblavar pustak aahe) — There is a book on the table. Both Japanese and Marathi are SOV languages where the existence verb (あります / आहे) is placed at the very end of the sentence, immediately following the subject.","Easy: 机の上に本があります。(つくえのうえにほんがあります) — There is a book on the desk. (Why: The subject ""本"" is an inanimate object, so the existence verb is used)
Medium: この教室に新しいパソコンがあります。(このきょうしつにあたらしいぱするとんがあります) — There is a new computer in this classroom. (Why: Introduces a location modifier and an adjective describing the inanimate subject)
Hard: 駅の近くに大きい病院がありますが、とても便利です。(えきのちかくにおおきいびょういんがありますが、とてもべんりです) — There is a big hospital near the station, and it is very convenient. (Why: Integrates inanimate existence in a complex compound sentence joined by the adversative conjunction ""が"")","あります sounds like a little ""ah, it's there!"" of discovery — use it for anything that can't get up
and walk away on its own.","Common mistake: using います for inanimate objects (❌ 本がいます) — Japanese enforces a strict
animate/inanimate split that English ""there is"" ignores. Quick check: can it move on its own? If
not, あります.",Analysis checklist #44 (jlpt_n5_flashcard_checklist.md)
What does 「がいます」mean?,"There is / are (used to show the existence of animate, living beings such as people and animals).","खोलीत मुलगा आहे (Kholit mulga aahe) — There is a boy in the room. In both languages, the existence of living subjects is marked with the terminal verb (います / आहे) following the marked location and subject.","Easy: 庭に犬がいます。(にわにいぬがいます) — There is a dog in the garden. (Why: ""犬"" is a living animal, so the animate existence verb is mandatory)
Medium: あそこに有名な先生がいます。(あそこにゆうめいなせんせいがいます) — There is a famous teacher over there. (Why: Links a distant location ""あそこ"" with a human subject modified by a な-adjective)
Hard: 私の家には可愛い猫が三匹います。(わたしのいえにはかわいいねこがさんびきいます) — There are three cute cats in my house. (Why: Combines a location-topic compound ""には"", an adjective, and a specific N5 animal counter ""三匹"")","います is for anyone who can walk (or crawl, or fly) into the room on their own — people and animals
only.","Common mistake: assuming ""alive"" is enough to trigger います — plants are alive but still take
あります, since the real rule is about self-directed movement, not biology. Also remember animals
usually need a species-specific counter (匹 for small animals, 頭 for large ones) when giving a
quantity.",Analysis checklist #45 (jlpt_n5_flashcard_checklist.md)
What does 「~があります」mean when used for possession?,"I have / someone has (used to express ownership of tangible items, or availability of time/events).","माझ्याजवळ पैसे आहेत (Mazyajaval paise aahet) — I have money. Marathi expresses possession using the postposition ""जवळ"" (near/with) combined with an existence verb, which mirrors the spatial concept of the Japanese topic-subject-existence structure.","Easy: 私はお金があります。(わたしはおかねがあります) — I have money. (Why: The basic possession structure where the possessor is the topic and the possessed item is marked with ""が"")
Medium: 今日は忙しいですから、時間がありません。(きょうはいそがしいですから、じかんがありません) — I don't have time today because I am busy. (Why: Expresses the negative state of possessing an abstract asset, ""time"", in a causal sentence)
Hard: 来週の日曜日に大切な用事があります。(らいしゅうのにちようびにたいせつなようじがあります) — I have an important errand next Sunday. (Why: Uses the possession construction for abstract obligations, integrating date nouns and い-adjectives)","Same あります as existence — just reframed. ""Near me, [thing] exists"" is Japanese's way of saying
""I have [thing]."" One verb, two readings.","Common mistake: marking the possessed item with を instead of が — possession with あります always
uses が, because grammatically the thing is treated as ""existing"" for the possessor (marked by は),
not as something being acted upon.",Analysis checklist #46 (jlpt_n5_flashcard_checklist.md)
What does 「は」mean?,"Topic marker: indicates what the sentence is about (pronounced ""wa"").","मी विद्यार्थी आहे (mī vidyārthī āhe) — I am a student. (Note the SOV structural parallel: the topic prefix is followed by the noun complement and ends with the verb copula, matching the Japanese pattern).","Easy: 私は学生です。(わたしはがくせいです) — I am a student. (Why: The particle marks the main topic of the sentence.)
Medium: 今日は天気がいいですね。(きょうはてんきがいいですね) — The weather is nice today, isn't it? (Why: The particle highlights today as the temporal topic.)
Hard: あの人は英語が上手ではありません。(あのひとはえいごがじょうずではありません) — That person is not good at English. (Why: The particle marks the person as the topic in a compound negative description.)","は (pronounced ""wa"") is like waving a flag: ""as for THIS topic..."" — setting the stage for what
comes next.","Common mistake: confusing は (topic — what we're talking ABOUT) with が (subject — WHO/WHAT
specifically does it). は sets the broad stage; が pinpoints the actor. Both can appear in the same
sentence doing different jobs.",Topics.md G001
What does 「が」mean?,Subject marker: indicates the specific subject that performs an action or exists.,"तिथे एक मांजर आहे — There is a cat there. (The subject of existence is expressed structurally at the start of the clause, mirroring the target of the Japanese particle).","Easy: 犬がいます。(いぬがいます) — There is a dog. (Why: The particle marks the specific animate subject that exists.)
Medium: このりんごが美味しいです。(このりんごがおいしいです) — This apple is delicious. (Why: The particle specifies this particular apple as the subject carrying the adjective.)
Hard: 私にはお姉さんが三人います。(わたしにはおねえさんがさんにんいます) — As for me, I have three older sisters. (Why: The particle marks the subject of possession/existence in a multi-clause sentence.)","が sounds sharp, like ""gah!"" — a pointing finger singling out exactly WHO or WHAT.","Common mistake: overusing が when は would sound more natural — が highlights specific or new
information (e.g. answering ""who?""), while は introduces an already-known topic. Reaching for が
everywhere makes speech sound oddly emphatic.",Topics.md G002
What does 「を」mean?,Object marker: indicates the direct object of a transitive verb.,"मी आंबा खातो — I eat a mango. (The direct object ""आंबा"" immediately precedes the verb ""खातो"", perfectly mirroring the Japanese SOV structure).","Easy: 水を飲みます。(みずをのみます) — I drink water. (Why: The particle marks the direct object of the verb.)
Medium: 毎日日本語を勉強します。(まいにちにほんごをべんきょうします) — I study Japanese every day. (Why: The particle marks the noun as the direct object of study.)
Hard: 教室で面白い本を読んでいます。(きょうしつでおもしろいほんをよんでいます) — I am reading an interesting book in the classroom. (Why: The particle marks the modified noun phrase as the object of the continuous verb.)",を looks like a little basket carrying the object right up to the verb.,"Common mistake: confusing を (the object marker, also pronounced ""o"") with お (the honorific prefix,
also ""o"") — they sound identical but never do the same job; を only ever marks a direct object.",Topics.md G003
